Ticker,Golden Cycle,Golden ON,Golden OFF,Weeks ON,Silver Entry Date,Silver Entry Price,Exit Date,Exit Price,Return %,Exit Reason
SAP.DE,8,2013-09-23,2013-09-30,1,2013-09-25,56.0099983215332,2013-09-30,54.66999816894531,-2.39243026735233,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,9,2013-10-21,2014-01-20,13,2013-10-22,54.099998474121094,2014-01-20,60.650001525878906,12.107214854896942,TRAILING_STOP
SAP.DE,10,2014-03-24,2014-05-05,6,2014-03-25,56.650001525878906,2014-05-05,56.7400016784668,0.15887052103038535,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,11,2014-05-26,2014-06-02,1,2014-05-27,55.439998626708984,2014-06-02,55.79999923706055,0.6493517663583193,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,12,2014-06-09,2014-07-28,7,2014-06-13,56.15999984741211,2014-07-28,59.81999969482422,6.517093763099013,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,13,2014-08-18,2014-09-15,4,2014-08-19,58.18000030517578,2014-09-15,59.959999084472656,3.0594684942593986,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,14,2014-11-17,2015-01-05,7,2014-11-18,54.56999969482422,2015-01-05,56.34000015258789,3.2435412638119443,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,15,2015-01-12,2015-05-04,16,2015-01-19,58.18000030517578,2015-05-04,68.45999908447266,17.669299974861552,RSI_BAND_DROP
SAP.DE,16,2015-07-13,2015-08-17,5,2015-07-14,65.30999755859375,2015-08-17,63.04999923706055,-3.460417096946933,HARD_STOP_FROM_ENTRY
SAP.DE,17,2015-10-05,2015-11-30,8,2015-10-06,58.68000030517578,2015-11-30,74.58999633789062,27.113149198998098,RSI_BAND_DROP
SAP.DE,18,2015-12-21,2016-02-08,7,2015-12-29,73.5199966430664,2016-02-08,65.9800033569336,-10.255704067478222,HARD_STOP_FROM_ENTRY
SAP.DE,19,2016-03-14,2016-09-05,25,2016-03-23,72.0,2016-09-05,80.69999694824219,12.083329094780826,RSI_BAND_DROP
SAP.DE,20,2016-09-26,2017-04-17,29,2016-12-20,82.5999984741211,2017-04-18,90.36000061035156,9.39467588327101,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
SAP.DE,21,2017-09-04,2017-11-06,9,2017-09-07,89.01000213623047,2017-11-06,99.55000305175781,11.841366883011407,RSI_BAND_DROP
SAP.DE,22,2017-11-13,2018-01-08,8,2017-11-22,97.19999694824219,2018-01-08,96.2699966430664,-0.9567904674636973,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,23,2018-03-12,2018-03-19,1,2018-03-13,88.55000305175781,2018-03-19,85.79000091552734,-3.116885421920579,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,24,2018-04-09,2018-10-15,27,2018-04-10,86.79000091552734,2018-10-15,98.01000213623047,12.927757924122552,TRAILING_STOP
SAP.DE,25,2019-01-14,2019-05-06,16,2019-01-16,89.8499984741211,2019-05-06,112.5,25.20868326158363,RSI_BAND_DROP
SAP.DE,26,2019-05-20,2019-07-08,7,2019-06-18,116.22000122070312,2019-07-08,123.19999694824219,6.005847233028305,RSI_BAND_DROP
SAP.DE,27,2019-10-07,2020-02-24,20,2019-10-11,106.87999725341797,2020-02-24,121.23999786376953,13.435629658843705,TRAILING_STOP
SAP.DE,28,2020-04-06,2020-05-11,5,2020-04-07,104.5199966430664,2020-05-11,106.63999938964844,2.028322631717838,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,29,2020-05-25,2020-07-27,9,2020-05-26,110.54000091552734,2020-07-27,139.3000030517578,26.017732855103137,RSI_BAND_DROP
SAP.DE,30,2020-08-03,2020-10-26,12,2020-08-24,138.1199951171875,2020-10-26,97.5,-29.409206887622307,HARD_STOP_FROM_ENTRY
SAP.DE,31,2020-12-21,2021-02-22,9,2020-12-29,106.27999877929688,2021-02-22,103.9000015258789,-2.239365149373329,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,32,2021-03-15,2021-07-19,18,2021-04-01,105.9800033569336,2021-07-19,122.76000213623047,15.833174417614382,RSI_BAND_DROP
SAP.DE,33,2021-08-09,2021-11-22,15,2021-08-17,126.68000030517578,2021-11-22,121.66000366210938,-3.9627381046519528,TRAILING_STOP
SAP.DE,34,2021-12-13,2022-01-24,6,2021-12-14,120.08000183105469,2022-01-24,116.0,-3.3977363164892416,HARD_STOP_FROM_ENTRY
SAP.DE,35,2022-07-11,2022-08-22,6,2022-07-19,89.5999984741211,2022-08-22,89.18000030517578,-0.46874796439491107,TREND_BREAK_MA40_TWO_NEG_SLOPE
SAP.DE,36,2022-10-03,2022-12-05,9,2022-10-04,84.36000061035156,2022-12-05,105.23999786376953,24.75106342146689,RSI_BAND_DROP
SAP.DE,37,2023-01-02,2023-06-19,24,2023-01-03,98.38999938964844,2023-06-19,125.16000366210938,27.20805410969176,RSI_BAND_DROP
SAP.DE,38,2023-10-30,2024-04-08,23,2023-10-31,125.9800033569336,2024-04-08,177.22000122070312,40.673119938402834,RSI_BAND_DROP
SAP.DE,39,2024-06-17,2024-10-28,19,2024-06-26,183.16000366210938,2024-10-28,222.6999969482422,21.5876788029965,RSI_BAND_DROP
SAP.DE,40,2024-11-25,2025-02-24,13,2024-12-02,227.4499969482422,2025-02-24,274.29998779296875,20.597929862970112,RSI_BAND_DROP
SAP.DE,41,2025-04-28,2025-08-11,15,2025-04-29,245.60000610351562,2025-08-11,249.35000610351562,1.5268729262243763,HARD_STOP_FROM_ENTRY
SAP.DE,42,2025-10-13,2025-10-27,2,2025-10-20,239.35000610351562,2025-10-27,235.5500030517578,-1.5876344077110138,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,1,2019-10-28,2020-01-27,13,2019-10-31,37.994998931884766,2020-01-27,43.400001525878906,14.225563221317405,TRAILING_STOP
SHL.DE,2,2020-04-13,2020-06-29,11,2020-04-15,36.94499969482422,2020-06-29,42.724998474121094,15.644874345760563,TRAILING_STOP
SHL.DE,3,2020-07-20,2020-08-10,3,2020-07-21,43.29999923706055,2020-08-10,41.0,-5.3117766226008944,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,4,2020-10-19,2020-10-26,1,,,,,,
SHL.DE,5,2020-11-02,2021-02-08,14,2020-11-05,37.869998931884766,2021-02-08,49.07500076293945,29.588070100579266,RSI_BAND_DROP
SHL.DE,6,2021-02-15,2021-06-28,19,2021-03-11,46.1150016784668,2021-06-28,52.15999984741211,13.108528567544209,RSI_BAND_DROP
SHL.DE,7,2021-07-05,2021-09-27,12,2021-07-07,52.560001373291016,2021-09-27,58.13999938964844,10.6164343047239,TRAILING_STOP
SHL.DE,8,2021-10-18,2022-01-10,12,2021-10-19,57.36000061035156,2022-01-10,60.97999954223633,6.311016201822484,TRAILING_STOP
SHL.DE,9,2022-04-04,2022-04-25,3,2022-04-08,56.84000015258789,2022-04-25,54.0,-4.996481606199621,HARD_STOP_FROM_ENTRY
SHL.DE,10,2022-05-23,2022-06-06,2,2022-06-01,55.099998474121094,2022-06-06,55.540000915527344,0.798552547352438,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,11,2022-07-25,2022-08-22,4,2022-07-29,50.040000915527344,2022-08-22,48.459999084472656,-3.1574776221964806,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,12,2022-09-05,2022-09-12,1,2022-09-06,49.65999984741211,2022-09-12,50.0,0.684655967846548,HARD_STOP_FROM_ENTRY
SHL.DE,13,2022-10-24,2022-12-12,7,2022-10-26,46.7599983215332,2022-12-12,50.34000015258789,7.656120529427146,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,14,2023-01-16,2023-02-20,5,2023-01-17,49.47999954223633,2023-02-20,50.63999938964844,2.344381281616492,TRAILING_STOP
SHL.DE,15,2023-02-27,2023-06-05,14,2023-03-06,50.47999954223633,2023-06-05,53.41999816894531,5.824086080367552,TRAILING_STOP
SHL.DE,16,2023-07-24,2023-08-07,2,2023-07-25,51.65999984741211,2023-08-07,48.790000915527344,-5.555553504378374,HARD_STOP_FROM_ENTRY
SHL.DE,17,2023-09-25,2023-10-16,3,2023-09-26,47.4900016784668,2023-10-16,47.66999816894531,0.3790197601954093,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,18,2023-10-30,2024-04-08,23,2023-11-03,48.20000076293945,2024-04-08,55.52000045776367,15.186721118171654,TRAILING_STOP
SHL.DE,19,2024-06-03,2024-07-29,8,2024-06-05,54.36000061035156,2024-07-29,53.91999816894531,-0.8094231723067002,HARD_STOP_FROM_ENTRY
SHL.DE,20,2024-09-23,2024-10-21,4,2024-09-25,50.58000183105469,2024-10-21,51.959999084472656,2.7283455979843163,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,21,2024-11-04,2024-11-11,1,2024-11-07,49.02000045776367,2024-11-11,52.0,6.07915037618969,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,22,2024-12-02,2024-12-30,4,2024-12-03,51.47999954223633,2024-12-30,52.099998474121094,1.2043491402444317,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,23,2025-01-20,2025-03-03,6,2025-01-23,52.439998626708984,2025-03-03,54.040000915527344,3.051110470478613,TRAILING_STOP
SHL.DE,24,2025-06-23,2025-09-22,13,2025-06-24,46.5099983215332,2025-09-22,47.150001525878906,1.3760551009295519,TREND_BREAK_MA40_TWO_NEG_SLOPE
SHL.DE,25,2025-09-29,2025-11-03,5,2025-10-02,46.88999938964844,2025-11-03,48.81999969482422,4.116016912556941,TRAILING_STOP
SHL.DE,26,2025-12-15,2026-01-19,5,2025-12-19,44.099998474121094,2026-01-19,44.650001525878906,1.247172496118254,TRAILING_STOP
SHL.DE,27,2026-02-23,2026-03-02,1,2026-02-26,42.529998779296875,2026-03-02,41.369998931884766,-2.727486199639362,TREND_BREAK_MA40_TWO_NEG_SLOPE
REY.MI,1,2011-09-05,2011-09-12,1,,,,,,
REY.MI,2,2011-10-24,2011-10-31,1,,,,,,
REY.MI,3,2011-12-05,2012-03-05,13,2011-12-06,4.039999961853027,2012-03-05,4.137499809265137,2.413362582493428,TRAILING_STOP
REY.MI,4,2012-03-12,2012-07-02,16,2012-03-14,4.275000095367432,2012-07-02,4.400000095367432,2.923976542958573,TRAILING_STOP
REY.MI,5,2012-07-09,2013-04-15,40,2012-09-06,4.447500228881836,2013-04-15,7.545000076293945,69.64586145037399,RSI_BAND_DROP
REY.MI,6,2013-08-05,2013-09-02,4,2013-08-07,9.125,2013-09-02,10.835000038146973,18.73972644544628,RSI_BAND_DROP
REY.MI,7,2013-09-30,2014-01-06,14,2013-10-02,10.75,2014-01-06,14.4375,34.302325581395344,RSI_BAND_DROP
REY.MI,8,2014-02-17,2014-05-12,12,2014-02-18,15.175000190734863,2014-05-12,16.375,7.907741642058097,TRAILING_STOP
REY.MI,9,2014-08-18,2014-10-06,7,2014-08-19,14.375,2014-10-06,15.612500190734863,8.608696979025133,TRAILING_STOP
REY.MI,10,2014-12-01,2015-04-13,19,2014-12-04,14.225000381469728,2015-04-13,23.850000381469727,67.66256409059963,TRAILING_STOP
REY.MI,11,2015-04-20,2015-05-25,5,2015-04-28,22.875,2015-05-25,23.0,0.5464480874316946,TRAILING_STOP
