,open,high,low,close,volume
2025-07-20 22:00:00,16.260000228881836,16.540000915527344,15.850000381469727,16.299999237060547,3266387
2025-07-27 22:00:00,16.5,17.049999237060547,15.979999542236328,15.989999771118164,2953531
2025-08-03 22:00:00,16.149999618530273,16.309999465942383,15.670000076293945,16.190000534057617,2620564
2025-08-10 22:00:00,16.31999969482422,16.31999969482422,15.729999542236328,16.0,2932356
2025-08-17 22:00:00,16.040000915527344,16.309999465942383,15.75,16.15999984741211,3715755
2025-08-24 22:00:00,16.200000762939453,16.56999969482422,15.890000343322754,16.100000381469727,1992044
2025-08-31 22:00:00,16.139999389648438,16.389999389648438,15.609999656677246,16.059999465942383,2649478
2025-09-07 22:00:00,16.100000381469727,16.18000030517578,14.369999885559082,14.619999885559082,10542071
2025-09-14 22:00:00,14.619999885559082,15.010000228881836,14.220000267028809,14.300000190734863,5794447
2025-09-21 22:00:00,14.300000190734863,14.470000267028809,13.979999542236328,14.0,4539901
2025-09-28 22:00:00,13.850000381469727,14.079999923706055,13.619999885559082,13.899999618530273,6002157
2025-10-05 22:00:00,13.899999618530273,14.420000076293945,13.270000457763672,13.289999961853027,7595945
2025-10-12 22:00:00,13.350000381469727,13.989999771118164,13.109999656677246,13.9399995803833,4253403
2025-10-19 22:00:00,14.050000190734863,14.3100004196167,13.920000076293945,14.010000228881836,3345791
2025-10-26 23:00:00,14.0,14.960000038146973,13.460000038146973,14.890000343322754,5893569
2025-11-02 23:00:00,14.9399995803833,15.140000343322754,14.079999923706055,14.15999984741211,4022366
2025-11-09 23:00:00,14.34000015258789,15.239999771118164,14.180000305175781,14.760000228881836,3255814
2025-11-16 23:00:00,14.680000305175781,14.760000228881836,13.789999961853027,14.149999618530273,2605011
2025-11-23 23:00:00,14.289999961853027,14.649999618530273,14.069999694824219,14.609999656677246,1927315
2025-11-30 23:00:00,14.529999732971191,15.15999984741211,14.460000038146973,15.140000343322754,2709822
2025-12-07 23:00:00,15.100000381469727,15.25,14.569999694824219,15.020000457763672,2186464
2025-12-14 23:00:00,15.109999656677246,15.239999771118164,14.739999771118164,14.979999542236328,3341937
2025-12-21 23:00:00,14.970000267028809,15.079999923706055,14.760000228881836,14.850000381469727,795598
2025-12-28 23:00:00,14.800000190734863,15.010000228881836,14.720000267028809,14.84000015258789,1823682
2026-01-04 23:00:00,14.9399995803833,16.079999923706055,14.5600004196167,15.989999771118164,5094950
2026-01-11 23:00:00,16.100000381469727,16.219999313354492,15.770000457763672,16.15999984741211,2425915
2026-01-18 23:00:00,16.049999237060547,16.860000610351562,15.319999694824219,16.729999542236328,4372344
