Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
FISV,Fiserv,stock,Revolut,USD,WAIT,WAIT,55.54,96.40,92.54,66.6%,Attractive,,17,17,-1.94%,OFF,NO,OFF,,Lower Quartile,0,66.7%,26.5,36.0,0.256,-0.068,,45,77.8%,57.1%,7.59%,1750.36%,TRAILING_STOP,108%,Late,57.1%,11.4%,7.34%,Exhausted
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,38.94,56.81,54.54,40.1%,Attractive,,20,20,1.41%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,43.1,48.5,0.030,0.046,,46,71.7%,77.8%,2.42%,669.89%,TRAILING_STOP,110%,Late,77.8%,15.6%,3.11%,Exhausted
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,3.04,3.75,3.60,18.3%,Moderate,,11,11,0.00%,OFF,VALID,OFF,,Lower Quartile,2,85.7%,48.1,48.6,-0.002,0.004,,27,55.6%,45.5%,1.23%,320.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,231%,Late,45.5%,9.1%,0.00%,Exhausted
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.67,12.48,11.98,38.3%,Attractive,,25,25,-3.28%,OFF,NO,OFF,,Lower Quartile,0,53.8%,27.3,26.1,-0.102,-0.005,Lower-low still forming (price still breaking down),52,69.2%,70.0%,3.40%,5071.89%,HARD_STOP_FROM_ENTRY,251%,Late,70.0%,14.0%,7.46%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,75.00,117.04,112.36,49.8%,Attractive,,19,19,0.00%,OFF,NO,OFF,,Lower Quartile,1,61.5%,27.4,35.6,-0.273,-0.049,Lower-low still forming (price still breaking down),50,64.0%,50.0%,6.66%,108961.69%,HARD_STOP_FROM_ENTRY,65%,Mature,40.0%,26.0%,-1.93%,Late Risk
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,33.00,41.97,40.29,22.1%,Attractive,,21,21,-1.20%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,34.3,36.7,-0.419,0.170,,38,78.9%,88.9%,6.90%,6256.71%,TRAILING_STOP,282%,Late,88.9%,17.8%,11.91%,Exhausted
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.08,10.75,10.32,45.7%,Attractive,,3,3,-0.42%,OFF,NO,OFF,,Lower Quartile,1,50.0%,35.8,37.9,-6.608,-1.142,Lower-low still forming (price still breaking down),32,59.4%,42.9%,5.56%,1645.57%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,556%,Late,42.9%,8.6%,-0.43%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.74,4.73,4.54,21.4%,Attractive,,21,21,-1.27%,OFF,VALID,OFF,,Lower Quartile,1,73.3%,45.6,47.4,-0.009,0.005,,58,70.7%,85.7%,2.46%,1505.46%,RSI_BAND_DROP,226%,Late,85.7%,17.1%,8.91%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,458.30,632.78,607.47,32.5%,Attractive,,12,12,-0.88%,OFF,NO,OFF,,Lower Quartile,1,66.7%,31.9,28.6,-4.565,0.263,Lower-low still forming (price still breaking down),47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP,537%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.49,2.96,2.84,91.4%,Attractive,,24,24,-4.81%,OFF,NO,OFF,,Lower Quartile,1,72.7%,34.2,33.8,-0.965,-0.740,Lower-low still forming (price still breaking down),41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,62%,Mature,40.0%,26.0%,0.38%,Late Risk
