Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.82,12.48,11.98,35.8%,Attractive,,25,25,1.08%,OFF,VALID,OFF,,Lower Quartile,0,53.8%,27.7,31.4,-0.097,0.018,,Lower-low still forming (price still breaking down),52,69.2%,70.0%,3.40%,5071.89%,HARD_STOP_FROM_ENTRY,260%,Late,70.0%,14.0%,7.46%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,71.40,117.04,112.36,57.4%,Attractive,,13,13,1.42%,OFF,NO,OFF,,Lower Quartile,1,61.5%,26.1,33.0,-0.639,-0.145,,Lower-low still forming (price still breaking down),50,64.0%,50.0%,6.66%,108961.69%,HARD_STOP_FROM_ENTRY,73%,Mature,40.0%,16.0%,-1.93%,Late Risk
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,32.62,41.97,40.29,23.5%,Attractive,,21,21,0.00%,OFF,NO,OFF,,Lower Quartile,2,80.0%,33.3,35.4,-0.450,0.129,,Lower-low still forming (price still breaking down),38,78.9%,88.9%,6.90%,6256.71%,TRAILING_STOP,288%,Late,88.9%,17.8%,11.91%,Exhausted
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.09,10.75,10.32,45.6%,Attractive,,3,3,0.71%,OFF,NO,OFF,,Lower Quartile,1,50.0%,35.5,38.7,-6.967,-0.175,,Lower-low still forming (price still breaking down),32,59.4%,42.9%,5.56%,1645.57%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,564%,Late,42.9%,8.6%,-0.43%,Exhausted
KO,Coca-Cola Co,stock,Revolut,USD,WAIT,WAIT,76.68,72.44,69.54,-9.3%,Above Target,,22,22,1.28%,OFF,VALID,OFF,,Lower Quartile,1,76.9%,58.5,50.5,-0.052,0.109,,,49,71.4%,70.0%,3.12%,510.40%,TRAILING_STOP,130%,Late,70.0%,14.0%,5.74%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.78,4.73,4.54,20.2%,Attractive,,21,21,1.18%,OFF,VALID,OFF,,Normal Range,0,67.9%,45.3,51.1,-0.010,0.007,,,58,70.7%,85.7%,2.46%,1505.46%,RSI_BAND_DROP,233%,Late,85.7%,17.1%,8.91%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,463.65,632.78,607.47,31.0%,Attractive,,12,12,1.73%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,31.5,34.0,-4.769,1.067,,,47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP,543%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.50,2.96,2.84,89.6%,Attractive,,24,24,-1.70%,OFF,NO,OFF,,Lower Quartile,1,72.7%,35.9,37.3,-0.646,-0.341,,,41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,68%,Mature,40.0%,26.0%,0.38%,Late Risk
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,107.40,135.51,130.09,21.1%,Attractive,,20,20,2.24%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,36.9,40.8,-0.937,0.334,,,46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY,100%,Late,61.5%,12.3%,3.15%,Late Risk
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,361.44,475.11,456.11,26.2%,Attractive,,33,33,1.31%,OFF,NO,OFF,,Lower Quartile,2,83.3%,27.5,27.4,-1.178,-0.573,,Strong downtrend (ADX high & rising; -DI dominant),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE,50%,Mid,42.0%,35.7%,1.21%,Late Risk
