Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.64,25.75,24.72,40.1%,Attractive,,20,20,1.38%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,29.9,47.3,0.038,0.057,,,48,81.2%,75.0%,5.09%,2334.77%,TRAILING_STOP,S1_FAST,2Y,23.1%,11.0%,BROKEN,YES,309%,Late,75.0%,15.0%,2.99%,Exhausted
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,30.81,39.02,37.46,21.6%,Attractive,,16,16,0.13%,OFF,NO,OFF,,Lower Quartile,2,87.5%,52.2,39.6,-0.097,-0.082,,,64,73.4%,84.6%,3.08%,3138.51%,TRAILING_STOP,S1_FAST,2Y,102.9%,42.4%,OK,,232%,Late,84.6%,16.9%,5.38%,Exhausted
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,53.90,65.94,63.30,17.4%,Moderate,,24,24,-2.71%,OFF,NO,OFF,,Lower Quartile,1,71.4%,50.0,43.7,-0.128,-0.019,,Lower-low still forming (price still breaking down),27,77.8%,85.7%,6.38%,821.02%,HARD_STOP_FROM_ENTRY,S6_TIGHT,2Y,125.1%,50.0%,OK,,124%,Late,85.7%,17.1%,7.83%,Exhausted
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.63,3.18,3.05,15.9%,Moderate,,19,19,2.81%,OFF,VALID,OFF,,Normal Range,1,80.8%,55.7,57.3,-0.562,0.897,,,54,75.9%,81.8%,2.56%,2936.62%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,75.6%,32.5%,OK,,746%,Late,81.8%,16.4%,1.65%,Exhausted
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,21.36,24.71,23.72,11.1%,Moderate,,31,31,4.91%,OFF,VALID,OFF,,Normal Range,1,64.7%,38.4,55.9,-0.096,0.146,,,35,68.6%,80.0%,5.04%,3143.37%,HARD_STOP_FROM_ENTRY,S5_COMBO,2Y,85.5%,36.2%,OK,,80%,Late,80.0%,32.0%,5.73%,Late Risk
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,39.11,54.22,52.05,33.1%,Attractive,,11,11,1.14%,OFF,NO,OFF,,Lower Quartile,0,64.3%,42.0,51.1,0.022,0.052,,,53,77.4%,92.3%,2.45%,1313.62%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,63.2%,27.7%,OK,,169%,Late,92.3%,18.5%,3.77%,Exhausted
FRA.DE,Fuchs Petrolub,stock,Revolut,Euro,WAIT,WAIT,75.70,46.61,44.75,-40.9%,Above Target,,8,8,-1.11%,OFF,VALID,OFF,,Lower Quartile,1,76.5%,53.2,48.8,-0.073,0.074,,,65,70.8%,84.6%,2.24%,1396.50%,TRAILING_STOP,S1_FAST,2Y,110.9%,45.2%,OK,,336%,Late,84.6%,16.9%,3.30%,Exhausted
HEN3.DE,Henkel VZO,stock,Revolut,Euro,WAIT,WAIT,64.26,84.24,80.87,25.8%,Attractive,,11,11,-0.80%,OFF,NO,OFF,,Lower Quartile,1,70.6%,36.7,21.3,-0.653,-0.034,,Lower-low still forming (price still breaking down),65,67.7%,80.0%,1.96%,1202.96%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,44.8%,20.3%,OK,,336%,Late,80.0%,16.0%,2.39%,Exhausted
HTWS.L,Harbour Energy,stock,Moneybase,GBP,WAIT,WAIT,2.00,3.68,3.53,76.8%,Attractive,,21,21,3.52%,OFF,VALID,OFF,,Extended,0,100.0%,63.3,66.9,-0.020,1.389,,,20,85.0%,83.3%,6.88%,458.50%,RSI_BAND_DROP,S8_DI_GUARD_BUF,2Y,179.0%,67.0%,OK,,555%,Late,83.3%,16.7%,8.51%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,72.25,117.04,112.36,55.5%,Attractive,,12,12,-4.56%,OFF,NO,OFF,,Lower Quartile,1,61.5%,30.3,38.0,0.142,0.087,,,52,65.4%,53.8%,10.00%,254256.58%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,2Y,117.4%,47.4%,OK,,109%,Late,53.8%,10.8%,1.12%,Exhausted
