Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,4Y Strategy Return %,3Y Strategy Return %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.91,4.95,4.75,21.4%,Attractive,,10,10,0.26%,OFF,VALID,OFF,,Extended,1,75.0%,52.1,61.8,0.007,0.012,,,47,66.0%,80.0%,2.32%,982.27%,RSI_BAND_DROP,S5_COMBO,4Y,58.5%,39.1%,OK,,151%,Late,80.0%,16.0%,20.20%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,471.05,616.05,591.41,25.6%,Attractive,,12,12,-0.01%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,35.5,39.9,-2.237,1.494,,,47,70.2%,55.6%,5.08%,3680.39%,RSI_BAND_DROP,S0_BASE,4Y,41.0%,21.7%,OK,,559%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.51,2.39,2.29,52.2%,Attractive,,11,11,0.47%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,35.0,38.8,-0.565,0.007,,,34,67.6%,71.4%,6.38%,530.08%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,3Y,-31.8%,-15.8%,BROKEN,YES,88%,Late,62.9%,12.6%,-1.11%,Exhausted
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,109.80,138.46,132.92,21.1%,Attractive,,16,16,-0.09%,OFF,VALID,OFF,,Lower Quartile,1,60.0%,42.6,46.3,-0.335,0.411,,Lower-low still forming (price still breaking down),40,72.5%,60.0%,3.18%,1626.22%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,3Y,-21.2%,-14.0%,BROKEN,YES,102%,Late,60.0%,12.0%,1.77%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,372.88,462.66,444.15,19.1%,Moderate,⭐,45,45,-0.16%,OFF,NO,OFF,,Lower Quartile,2,72.7%,33.4,39.1,-0.219,0.712,,,43,69.8%,66.7%,6.11%,3417.39%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_COMPOUNDER_HOLD,3Y,17.2%,18.9%,OK,,57%,Mature,53.3%,34.6%,2.35%,Mid OK
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,WAIT,WAIT,545.00,78.74,75.59,-86.1%,Above Target,,26,26,0.85%,OFF,VALID,OFF,,Normal Range,2,78.9%,52.3,58.5,1.408,1.096,,,41,68.3%,71.4%,3.55%,1290.85%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,4Y,27.2%,1.0%,OK,,90%,Late,71.4%,14.3%,5.11%,Late Risk
NKE,Nike,stock,Revolut,USD,WAIT,WAIT,44.03,63.30,60.77,38.0%,Attractive,,16,16,-0.36%,OFF,NO,OFF,,Lower Quartile,1,80.0%,23.2,19.9,-0.484,-0.290,,Strong downtrend (ADX high & rising; -DI dominant),40,77.5%,77.8%,5.11%,1258.45%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,4Y,-1.9%,-2.4%,BROKEN,YES,108%,Late,62.2%,12.4%,3.17%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,177.64,218.70,209.95,18.2%,Moderate,,18,18,0.14%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,49.6,49.4,0.307,0.415,,,35,85.7%,100.0%,12.06%,94275.56%,TRAILING_STOP,S12_RECOVERY,4Y,89.5%,17.8%,OK,,195%,Late,100.0%,20.0%,52.27%,Exhausted
NXT.L,Sage,stock,Moneybase,GBP,WAIT,WAIT,129.50,10.63,10.20,-92.1%,Above Target,⭐,48,48,-0.15%,OFF,VALID,OFF,,Normal Range,1,68.8%,49.5,56.3,18.936,41.462,,,34,64.7%,66.7%,7.29%,1769.17%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,4Y,65.9%,29.4%,OK,,51%,Mature,66.7%,43.4%,10.89%,Mid OK
OXIG.L,Intertek,stock,Moneybase,GBP,WAIT,WAIT,25.00,51.36,49.31,97.2%,Attractive,,8,8,-0.20%,OFF,VALID,OFF,,Lower Quartile,-1,45.5%,56.1,50.9,-4.226,5.461,,,41,68.3%,55.6%,6.74%,4380.90%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_COMPOUNDER_HOLD,4Y,22.5%,18.8%,OK,,370%,Late,44.4%,8.9%,0.82%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.98,8.48,8.14,36.1%,Attractive,,25,25,-0.53%,OFF,VALID,OFF,,Normal Range,0,55.6%,48.9,53.3,-0.001,0.014,,,19,73.7%,75.0%,4.91%,202.39%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,4Y,41.9%,-2.3%,OK,,263%,Late,75.0%,15.0%,6.48%,Exhausted
