Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
FRA.DE,Fuchs Petrolub,stock,Revolut,Euro,WAIT,WAIT,77.10,46.61,44.75,-42.0%,Above Target,,13,13,3.91%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,53.9,53.1,-0.029,0.262,,,47,74.5%,81.8%,3.49%,1799.24%,TRAILING_STOP,S3_HOLD16_BUF,178%,Late,81.8%,16.4%,5.60%,Exhausted
HEN3.DE,Henkel VZO,stock,Revolut,Euro,WAIT,WAIT,66.12,84.24,80.87,22.3%,Attractive,,25,25,-0.27%,OFF,NO,OFF,,Lower Quartile,-1,41.7%,38.4,25.7,-0.546,0.055,,Lower-low still forming (price still breaking down),45,66.7%,77.8%,2.70%,649.39%,TRAILING_STOP,S4_WIDEATR,155%,Late,77.8%,15.6%,4.88%,Exhausted
HTWS.L,Harbour Energy,stock,Moneybase,GBP,WAIT,WAIT,1.86,3.68,3.53,89.7%,Attractive,,21,21,3.44%,OFF,VALID,OFF,,Lower Quartile,0,66.7%,62.1,55.0,-0.228,0.877,,,12,83.3%,85.7%,7.86%,294.56%,RSI_BAND_DROP,S12_RECOVERY,436%,Late,88.6%,17.7%,8.39%,Exhausted
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,72.40,117.04,112.36,55.2%,Attractive,,20,20,2.12%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,27.7,35.8,-0.121,0.100,,,57,75.4%,72.7%,7.34%,157260.67%,HARD_STOP_FROM_ENTRY,S1_FAST,111%,Late,72.7%,14.5%,2.72%,Exhausted
IHG.L,3I Group,stock,Moneybase,GBP,WAIT,WAIT,1.33,31.74,30.47,2197.1%,Attractive,,16,16,1.73%,OFF,NO,OFF,,Lower Quartile,0,66.7%,49.7,49.4,-0.358,0.247,,,60,73.3%,66.7%,2.84%,3863.58%,TRAILING_STOP,S8_DI_GUARD_BUF,477%,Late,66.7%,13.3%,2.34%,Exhausted
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,34.44,42.02,40.34,17.1%,Moderate,,28,28,6.30%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,38.1,46.5,-0.185,0.272,,,36,72.2%,77.8%,6.37%,4935.40%,TRAILING_STOP,S5_COMBO,213%,Late,77.8%,15.6%,3.97%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.90,4.95,4.75,21.7%,Attractive,,10,10,2.36%,OFF,VALID,OFF,,Extended,1,75.0%,51.8,61.1,0.006,0.014,,,47,66.0%,80.0%,2.32%,982.27%,RSI_BAND_DROP,S5_COMBO,144%,Late,80.0%,16.0%,20.20%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,471.10,616.05,591.41,25.5%,Attractive,,12,12,1.73%,OFF,VALID,OFF,,Lower Quartile,1,58.3%,35.5,39.9,-2.233,1.657,,,46,69.6%,55.6%,7.25%,2804.61%,TRAILING_STOP,S2_HOLD12_BUF,243%,Late,55.6%,11.1%,2.33%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.50,2.39,2.29,53.0%,Attractive,,18,18,-0.13%,OFF,NO,OFF,,Lower Quartile,1,72.7%,34.7,37.6,-0.621,-0.124,,Lower-low still forming (price still breaking down),41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S0_BASE,73%,Mature,40.0%,16.0%,0.38%,Late Risk
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,109.90,138.46,132.92,20.9%,Attractive,,20,20,2.14%,OFF,VALID,OFF,,Lower Quartile,2,85.7%,42.7,46.5,-0.327,0.484,,,56,76.8%,71.4%,4.51%,2989.82%,HARD_STOP_FROM_ENTRY,S1_FAST,149%,Late,71.4%,14.3%,3.51%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,369.37,462.66,444.15,20.2%,Attractive,,33,33,-0.22%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,31.5,35.7,-0.545,0.426,,,43,69.8%,58.3%,5.41%,3737.67%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,49%,Mid,35.0%,29.8%,0.04%,Late Risk
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,WAIT,WAIT,540.40,78.74,75.59,-86.0%,Above Target,,43,43,0.19%,OFF,VALID,OFF,,Normal Range,2,72.2%,51.0,55.9,1.041,0.925,,,36,72.2%,66.7%,4.57%,1296.93%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,68%,Mature,66.7%,43.4%,7.24%,Mid OK
NKE,Nike,stock,Revolut,USD,WAIT,WAIT,44.63,63.30,60.77,36.2%,Attractive,,16,16,-15.51%,OFF,NO,OFF,,Lower Quartile,1,80.0%,27.9,20.6,-0.915,-0.509,,Lower-low still forming (price still breaking down),40,77.5%,77.8%,5.11%,1258.45%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,169%,Late,62.2%,12.4%,3.17%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,175.75,218.70,209.95,19.5%,Moderate,,18,18,0.77%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,48.4,47.3,0.177,0.374,,,41,80.5%,85.7%,9.89%,271134.82%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,124%,Late,85.7%,17.1%,22.60%,Exhausted
NXT.L,Sage,stock,Moneybase,GBP,WAIT,WAIT,129.70,10.63,10.20,-92.1%,Above Target,⭐,53,53,2.33%,OFF,VALID,OFF,,Normal Range,1,68.8%,49.8,56.8,20.531,53.077,,,34,64.7%,66.7%,7.29%,1769.17%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,45%,Mid,66.7%,56.7%,10.89%,Mid OK
ORCL,Oracle,stock,Revolut,USD,WAIT,WAIT,145.23,175.86,168.83,16.2%,Moderate,,32,32,-1.28%,OFF,VALID,OFF,,Lower Quartile,1,90.9%,36.0,44.3,0.018,0.128,,,42,73.8%,75.0%,3.66%,2048.02%,HARD_STOP_FROM_ENTRY,S4_WIDEATR,41%,Mid,45.0%,38.2%,1.28%,Late Risk
OXIG.L,Intertek,stock,Moneybase,GBP,WAIT,WAIT,25.05,51.36,49.31,96.8%,Attractive,,8,8,4.37%,OFF,NO,OFF,,Lower Quartile,1,66.7%,60.8,51.3,-6.657,7.057,,,47,76.6%,60.0%,6.74%,8019.39%,TRAILING_STOP,S8_DI_GUARD_BUF,157%,Late,36.0%,7.2%,1.10%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,127.28,174.47,167.49,31.6%,Attractive,,42,42,-1.16%,OFF,NO,OFF,,Lower Quartile,2,80.0%,30.7,34.7,-0.175,0.078,,,38,71.1%,50.0%,3.35%,2284.52%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO,53%,Mature,50.0%,32.5%,1.03%,Mid OK
REY.MI,Reply,stock,Revolut,Euro,WAIT,WAIT,81.90,125.55,120.53,47.2%,Attractive,,3,3,1.42%,OFF,VALID,OFF,,Lower Quartile,-1,45.5%,29.6,43.0,-0.131,0.407,,,41,63.4%,20.0%,2.65%,9769.80%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,163%,Late,20.0%,4.0%,-2.75%,Exhausted
RI.PA,RI,stock,Revolut,Euro,WAIT,WAIT,63.58,77.45,74.35,16.9%,Moderate,,24,24,-1.00%,OFF,NO,OFF,,Lower Quartile,2,94.1%,30.5,37.3,-0.454,0.106,,Lower-low still forming (price still breaking down),65,72.3%,69.2%,3.59%,1166.45%,TRAILING_STOP,S11_VOLATILE_FAST,381%,Late,69.2%,13.8%,0.73%,Exhausted
SAP.DE,SAP,stock,Revolut,Euro,WAIT,WAIT,148.86,183.99,176.63,18.7%,Moderate,,34,34,1.33%,OFF,NO,OFF,,Lower Quartile,0,53.3%,25.3,34.7,-0.504,0.305,,Strong downtrend (ADX high & rising; -DI dominant),58,65.5%,77.8%,2.78%,3703.22%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S8_DI_GUARD_BUF,489%,Late,62.2%,12.4%,10.59%,Exhausted
